name,ride_type,element_count,max_speed_mph,average_speed_mph,ride_length_m,max_positive_vertical_g,max_negative_vertical_g,max_lateral_g,inversion_count,drop_count,highest_drop_height_m,total_air_time_raw,excitement,intensity,nausea
Aerial Cycles,72,31,4.5,2.25,209,0.96,0.96,0.0,0,0,0.0,0,2.1,0.2,0.0
Atomizer,51,126,54.0,18.0,986,3.2,-1.28,2.24,6,12,27.0,18,7.0,7.8,4.3
Automania,87,69,40.5,15.75,495,2.88,-1.28,1.28,0,5,13.5,8,5.4,5.7,4.0
Automobile Antics,22,54,24.75,13.5,244,0.96,0.96,0.0,0,6,3.0,0,2.9,2.6,0.5
Bat Flight,7,56,27.0,11.25,358,1.92,0.0,1.6,0,5,6.0,0,4.8,5.8,4.2
Batty Bikers,10,113,31.5,13.5,744,2.24,-0.32,1.28,0,10,7.5,2,5.1,5.4,3.9
Bear Circle,73,32,56.25,22.5,468,3.52,-1.6,0.96,2,6,21.75,12,5.9,8.4,6.4
Big Twister,66,44,42.75,11.25,346,2.88,-1.28,1.28,4,4,13.5,21,3.3,8.3,5.4
Black Panther,15,93,45.0,15.75,820,3.84,-1.28,1.92,2,7,19.5,7,6.6,6.4,3.2
Black Widow,52,109,54.0,18.0,812,3.52,-1.6,1.6,0,7,25.5,16,7.6,8.2,4.8
Blue Hurricane,19,167,81.0,22.5,1653,2.88,-1.6,1.6,0,11,60.0,41,7.7,6.7,3.4
Boulder-mobile,22,82,22.5,13.5,359,0.96,0.96,0.0,0,8,3.0,0,5.9,2.4,0.5
Brainstorm,52,172,51.75,18.0,1214,3.52,-1.6,1.28,0,10,25.5,20,7.6,8.2,4.9
Bumble Bee,15,54,38.25,13.5,491,2.56,-0.64,2.24,1,4,13.5,6,6.0,5.1,2.4
Cairngorm Bobsleds,87,64,38.25,13.5,472,2.24,-0.64,1.28,0,5,12.0,1,4.7,5.3,3.5
Calamity Mine,17,142,38.25,13.5,996,2.56,-0.64,1.6,0,10,7.5,8,7.4,7.1,5.4
Castaway,24,76,20.25,2.25,311,0.96,0.96,0.0,0,5,3.0,0,5.6,1.7,1.2
Castle Karts,22,60,22.5,13.5,253,0.96,0.96,0.0,0,6,3.0,0,5.3,2.6,0.4
Catseyes,11,88,4.5,2.25,415,0.96,0.96,0.0,0,4,6.0,0,4.1,0.6,0.1
Cheesy Mice,9,48,29.25,11.25,269,3.2,-1.28,1.92,0,8,4.5,6,3.5,4.0,2.3
Chocolate Log,4,76,36.0,13.5,606,2.24,-0.64,1.28,0,4,13.5,4,5.5,5.3,3.7
Circulator,86,26,65.25,31.5,147,4.16,-1.92,0.0,0,4,36.0,45,6.1,7.4,5.4
Cobra,19,28,47.25,18.0,456,4.48,0.32,1.92,6,9,21.0,0,6.1,8.1,3.6
Colossus (Track 1),52,212,63.0,18.0,1237,3.84,-1.92,2.56,0,13,37.5,25,7.5,9.7,5.4
Colossus (Track 2),52,205,63.0,18.0,1225,3.84,-1.92,1.28,0,14,37.5,26,7.3,9.2,5.2
Contortion,51,108,45.0,13.5,823,3.84,-1.28,2.24,4,8,19.5,17,7.1,6.8,3.8
Crazy Cabs,87,65,45.0,15.75,414,3.2,-0.96,1.92,0,5,19.5,8,5.1,6.0,4.1
Crazy Castle,20,74,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.7,0.6,0.0
Crazy Caterpillar,4,126,38.25,13.5,956,2.56,-0.64,2.24,0,8,12.0,9,6.4,6.2,5.4
Crazy Knights,59,70,27.0,11.25,335,1.92,-0.32,2.56,0,7,3.0,0,6.0,5.7,6.1
Creaky Dips,53,86,33.75,11.25,492,2.24,0.0,1.28,0,9,9.0,0,4.8,5.9,3.3
Crush Hour,51,94,58.5,24.75,966,3.52,-0.96,1.92,3,7,30.0,5,7.3,7.3,3.6
Danglefeet,3,76,45.0,15.75,590,3.84,-1.6,1.92,4,7,19.5,7,6.5,8.5,6.8
Deep Freeze,15,113,45.0,15.75,955,2.56,-0.32,1.6,2,7,19.5,2,6.5,5.2,2.4
Deja Vu,73,40,49.5,18.0,469,3.52,-0.32,1.92,6,9,21.0,25,6.6,9.4,7.5
Demon Drop,16,51,36.0,9.0,344,2.56,-0.64,2.56,0,4,13.5,1,4.7,5.7,3.5
Dizzymouse,54,94,29.25,11.25,446,1.92,0.0,1.6,0,7,7.5,0,6.6,6.5,5.4
Doubledrop,60,30,29.25,2.25,215,0.96,0.96,0.0,0,1,10.5,0,4.2,2.0,1.1
Dragster,75,64,85.5,40.5,586,3.84,-2.24,2.24,0,2,67.5,29,8.3,9.0,7.0
Dream Chariots,87,76,47.25,13.5,553,2.56,-0.64,1.92,0,5,19.5,2,5.2,5.8,3.8
Driftwood,52,130,45.0,15.75,756,2.88,-1.28,1.92,0,15,19.5,26,6.8,8.5,5.0
Drive-by,90,105,65.25,24.75,890,3.84,-1.28,1.92,5,8,27.0,19,6.5,9.4,5.5
El Condor,73,75,40.5,11.25,560,3.2,-1.6,1.92,5,7,16.5,10,6.5,8.2,6.8
Empire Express,3,125,58.5,20.25,1156,3.84,-1.28,2.24,5,9,31.5,11,6.8,9.0,7.1
Escape Hatch,12,17,69.75,33.75,111,0.96,0.96,0.0,0,0,0.0,0,4.1,9.4,5.6
Evil Vultures,62,89,31.5,13.5,728,3.52,-0.96,1.92,2,5,10.5,8,6.6,6.6,5.4
Exterminator,15,110,45.0,18.0,857,3.52,-1.28,1.92,2,10,19.5,18,6.9,6.8,3.7
Firetrap,52,82,38.25,15.75,554,2.88,-1.28,0.96,0,7,13.5,16,6.9,7.2,4.4
Fizzly,15,91,38.25,15.75,663,2.88,-1.28,1.28,1,9,15.0,14,6.2,5.5,2.6
Flashback,51,143,49.5,13.5,998,3.84,-1.92,1.6,6,9,13.5,14,7.2,7.3,3.8
Flight of the Phoenix,2,82,42.75,11.25,601,2.88,-1.6,1.6,0,5,13.5,9,6.2,6.4,7.0
Flying Dutchman Gold Mine,54,86,27.0,9.0,387,2.88,-1.28,1.92,0,12,6.0,7,6.8,7.7,4.8
Force Nine,42,25,67.5,38.25,280,3.2,0.0,0.0,0,1,37.5,11,4.8,7.4,5.3
Fossil Folly,74,84,38.25,6.75,549,2.88,-1.28,0.64,0,6,13.5,6,4.8,5.8,4.1
Fright Flight,7,51,31.5,9.0,313,2.24,0.0,1.28,0,5,9.0,0,5.1,6.8,4.7
Frightmare,51,112,63.0,24.75,1140,4.8,-0.32,2.56,5,6,33.0,3,8.1,7.9,4.8
Fungicide,54,70,33.75,13.5,390,2.24,-0.32,2.56,0,7,10.5,1,6.1,7.1,4.1
Garden Explorer,79,21,4.5,2.25,254,0.96,0.96,0.0,0,0,0.0,0,2.7,0.4,0.4
Garden Golf,67,38,4.5,2.25,480,0.96,0.96,0.0,11,2,1.5,0,3.7,0.9,0.0
Getaway,15,102,45.0,13.5,729,3.2,-1.28,1.6,1,7,15.0,20,6.2,5.6,2.8
Ghost Train,50,48,15.75,2.25,241,1.6,0.32,1.28,0,4,1.5,0,3.3,0.3,0.2
Glow-Worm,15,144,51.75,18.0,1098,4.16,-1.28,1.92,2,11,25.5,24,7.6,7.3,3.8
Glowing Embers,52,96,47.25,15.75,820,2.88,-1.28,0.96,0,9,19.5,12,6.7,7.4,4.6
Gold Rush,17,104,38.25,15.75,715,2.88,-1.28,1.28,0,9,13.5,21,6.1,7.0,4.7
Golden Eagle,3,84,45.0,15.75,647,3.2,-1.6,1.92,3,7,19.5,10,6.5,8.0,6.7
Goliath.1,68,127,67.5,29.25,1250,3.2,-0.96,1.28,0,8,41.25,30,7.8,5.4,2.8
Goliath,51,207,90.0,22.5,1476,4.16,-1.92,1.6,0,8,72.0,14,8.1,6.9,3.4
Gravity Gale,44,136,69.75,22.5,919,4.48,-1.92,1.92,1,8,48.75,34,7.6,7.9,3.8
Great American Scream Machine,19,135,54.0,13.5,975,4.8,-0.64,2.24,7,10,30.0,2,7.2,9.4,4.7
